ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global"
6737,variable,1999,АВЕНСИС,1,0,visible,,"Рулонные жалюзи АВЕНСИС",,,taxable,,0,,,0,0,,,,,1,,,,"Рулонные жалюзи",,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/ec17b2b3761274fb5e7ff78a61df09b3.jpg,,,,,,,,,0,цвет,"белый, черный",1,0,белый,"Ширина рулона (м)",2.4,1,0,Страна,ГЕРМАНИЯ,1,0,price,1815,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
6738,variation,2000,"АВЕНСИС - белый",1,0,visible,,225,,,taxable,parent,0,,,0,0,,,,,0,,,1,,,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/ec17b2b3761274fb5e7ff78a61df09b3.jpg,,,1999,,,,,,0,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
6739,variation,2002,"АВЕНСИС - черный",1,0,visible,,1908,,,taxable,parent,0,,,0,0,,,,,0,,,1,,,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/8d9c8e2b7a2e2071dc0787e25d372e2d-1.jpg,,,1999,,,,,,0,цвет,черный,,0,,,,,,,,,,,,,,,,,,,,,
6740,variable,2003,АЖУР,1,0,visible,,"Рулонные жалюзи АЖУР",,,taxable,,0,,,0,0,,,,,1,,,,"Рулонные жалюзи",,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/49568c1bb0dd2bc08fdb53412cd1529e.jpg,,,,,,,,,0,цвет,"белый, св. серый, св. бежевый, св. коричневый, св. желтый, желтый, оранжевый, персиковый, красный, коралл, т. голубой, мята, бирюзовый, салатовый",1,0,белый,"Ширина рулона (м)",2.2,1,0,Страна,КИТАЙ,1,0,price,788,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
6741,variation,2004,"АЖУР - белый",1,0,visible,,225,,,taxable,parent,0,,,0,0,,,,,0,,,1,,,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/49568c1bb0dd2bc08fdb53412cd1529e.jpg,,,2003,,,,,,0,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
6742,variation,2006,"АЖУР - св. серый",1,0,visible,,1608,,,taxable,parent,0,,,0,0,,,,,0,,,1,,,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/e2f896ca0d750c33d4ef357e96ebaf13.jpg,,,2003,,,,,,0,цвет,"св. серый",,0,,,,,,,,,,,,,,,,,,,,,
6743,variation,2008,"АЖУР - св. бежевый",1,0,visible,,2261,,,taxable,parent,0,,,0,0,,,,,0,,,1,,,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/337b9d5ace81ad6fd09b95fa2b1f3f50.jpg,,,2003,,,,,,0,цвет,"св. бежевый",,0,,,,,,,,,,,,,,,,,,,,,
6744,variation,2010,"АЖУР - св. коричневый",1,0,visible,,2868,,,taxable,parent,0,,,0,0,,,,,0,,,1,,,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/acdf39bcf3ce6d51b2918cf317be5794.jpg,,,2003,,,,,,0,цвет,"св. коричневый",,0,,,,,,,,,,,,,,,,,,,,,
6745,variation,2012,"АЖУР - св. желтый",1,0,visible,,3209,,,taxable,parent,0,,,0,0,,,,,0,,,1,,,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/a05c5309fe4ab17b0f042a7c47524a0d.jpg,,,2003,,,,,,0,цвет,"св. желтый",,0,,,,,,,,,,,,,,,,,,,,,
6746,variation,2014,"АЖУР - желтый",1,0,visible,,3465,,,taxable,parent,0,,,0,0,,,,,0,,,1,,,,http://kubanzhalyuzi.ru/wp-content/uploads/2021/03/791c5d9877c4aa343f73585040b4f562.jpg,,,2003,,,,,,0,цвет,желтый,,0,,,,,,,,,,,,,,,,,,,,,
